, ,Above threshold?,Chi^2,Correlation Coefficient,Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,stoichiometry,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
50,,no,7.2829999999999995,0.20800000000000002,0,92,Undefined-free,35.022,20190127,free,29.653000000000002,29.653000000000002,34.495,40.369,3.045,Undefined,27.033,151.172,0.0,38.0,0.172,74.172,32.711
0,,yes,7.926,0.3,0,1,streak-free,78.212,20190127,free,33.102,33.102,36.744,42.805,6.801,streak,83.15899999999999,22.768,0.359,36.359,0.0,61.0,34.444
1,,yes,7.485,0.254,0,2,streak-free,54.801,20190127,free,33.184,33.184,36.61,42.661,4.765,streak,22.768,22.768,0.0,19.0,0.0,53.0,34.176
2,,yes,7.4239999999999995,0.261,0,3,streak-free,71.935,20190127,free,28.469,28.469,35.618,41.586000000000006,6.255,streak,22.768,82.137,0.0,50.0,0.297,70.297,31.333000000000002
3,,yes,9.232000000000001,0.32899999999999996,0,4,streak-free,85.765,20190127,free,30.204,30.204,35.79,41.773,7.457999999999999,streak,82.634,85.79899999999999,-0.25,12.75,-0.359,82.641,34.007
4,,yes,8.136000000000001,0.27699999999999997,0,5,Undefined-free,89.456,20190127,free,30.143,30.143,35.2,41.133,7.779,Undefined,62.336000000000006,402.21,0.484,53.483999999999995,0.7190000000000001,38.719,30.539
5,,yes,6.957000000000001,0.25,0,6,streak-free,56.496,20190127,free,32.694,32.694,35.442,41.395,4.913,streak,75.67699999999999,65.05199999999999,0.21899999999999997,56.218999999999994,0.016,57.016000000000005,34.351
6,,yes,7.5920000000000005,0.272,0,7,streak-free,53.323,20190127,free,30.633000000000003,30.633000000000003,35.424,41.376000000000005,4.637,streak,145.312,110.20299999999999,-0.32799999999999996,33.672,-0.109,73.891,33.019
7,,yes,6.7410000000000005,0.233,0,8,streak-free,51.211000000000006,20190127,free,27.898000000000003,27.898000000000003,35.299,41.24,4.453,streak,27.462,22.768,0.016,81.016,0.0,32.0,32.119
8,,yes,6.744,0.272,0,9,streak-free,55.285,20190127,free,31.041,31.041,35.346,41.291000000000004,4.8069999999999995,streak,122.198,106.229,-0.25,57.75,0.078,65.078,33.423
9,,yes,6.624,0.264,0,11,streak-free,72.08,20190127,free,31.326999999999998,31.326999999999998,34.728,40.621,6.268,streak,81.839,111.022,-0.23399999999999999,15.765999999999998,0.43799999999999994,59.438,30.49
10,,yes,6.308,0.24600000000000002,0,12,streak-free,47.222,20190127,free,30.163,30.163,34.755,40.65,4.106,streak,22.768,22.768,0.0,20.0,0.0,15.0,32.749
11,,yes,6.55,0.207,0,13,streak-free,47.998999999999995,20190127,free,29.878,29.878,34.751999999999995,40.648,4.1739999999999995,streak,23.485,31.363000000000003,-0.016,47.983999999999995,0.0,62.0,32.427
12,,yes,8.235,0.273,0,14,streak-free,58.291000000000004,20190127,free,32.347,32.347,34.799,40.698,5.069,streak,77.33800000000001,22.768,0.281,17.281,0.0,67.0,33.104
13,,no,8.505,0.301,0,15,streak-free,35.621,20190127,free,31.592,31.592,34.866,40.771,3.0980000000000003,streak,268.014,78.303,-0.203,25.796999999999997,0.281,42.281000000000006,33.505
14,,no,7.309,0.302,0,16,Undefined-free,32.001,20190127,free,30.653000000000002,30.653000000000002,34.736999999999995,40.631,2.783,Undefined,111.72399999999999,276.788,0.031,48.031000000000006,-0.23399999999999999,46.766000000000005,30.499000000000002
15,,yes,8.174,0.29100000000000004,0,17,streak-free,63.043,20190127,free,28.265,28.265,34.794000000000004,40.693000000000005,5.482,streak,22.768,77.961,0.0,58.0,0.344,50.343999999999994,33.407
16,,yes,7.371,0.252,0,18,streak-free,54.461999999999996,20190127,free,29.918000000000003,29.918000000000003,34.900999999999996,40.809,4.736000000000001,streak,90.227,22.768,-0.312,61.688,0.0,10.0,34.419000000000004
17,,yes,7.534,0.251,0,19,streak-free,50.797,20190127,free,33.449,33.449,35.049,40.968999999999994,4.417,streak,77.219,22.768,0.23399999999999999,80.234,0.0,21.0,35.41
18,,yes,7.68,0.23199999999999998,0,20,streak-free,44.816,20190127,free,33.041,33.041,35.133,41.06100000000001,3.897,streak,129.776,29.738000000000003,0.25,40.25,0.0,36.0,34.44
19,,yes,7.477,0.24600000000000002,0,22,streak-free,74.097,20190127,free,31.857,31.857,35.236,41.172,6.443,streak,88.818,49.663000000000004,-0.42200000000000004,45.578,-0.125,80.875,35.523
20,,no,6.19,0.257,0,23,Undefined-free,25.107,20190127,free,31.429000000000002,31.429000000000002,35.224000000000004,41.159,2.1830000000000003,Undefined,22.768,344.59,0.0,53.0,0.578,9.578,32.661
21,,yes,7.671,0.222,0,24,streak-free,44.144,20190127,free,29.0,29.0,35.22,41.153999999999996,3.839,streak,28.651,22.768,0.0,64.0,0.0,36.0,32.824
22,,yes,7.42,0.261,0,27,streak-free,50.733999999999995,20190127,free,32.204,32.204,34.945,40.856,4.412,streak,109.84700000000001,24.230999999999998,0.297,19.297,-0.031,44.968999999999994,33.434
23,,no,6.558,0.242,0,28,streak-free,36.497,20190127,free,32.755,32.755,34.929,40.839,3.174,streak,142.056,136.609,-0.42200000000000004,29.578000000000003,0.531,20.531,32.205
24,,yes,8.088,0.257,0,29,streak-free,42.375,20190127,free,34.611999999999995,34.611999999999995,34.972,40.885,3.685,streak,103.744,32.22,0.016,33.016,0.016,80.016,33.86
25,,no,6.779,0.295,0,30,spot-free,34.347,20190127,free,32.388000000000005,32.388000000000005,34.971,40.885,2.987,spot,150.934,136.609,-0.016,62.983999999999995,0.391,85.391,32.65
26,,yes,7.643,0.242,0,31,streak-free,56.692,20190127,free,30.388,30.388,34.953,40.865,4.93,streak,28.651,89.214,0.0,70.0,0.344,83.344,32.104
27,,yes,7.115,0.27399999999999997,0,32,streak-free,83.45299999999999,20190127,free,29.694000000000003,29.694000000000003,34.958,40.871,7.257000000000001,streak,81.097,93.554,0.32799999999999996,78.328,-0.375,38.625,32.825
28,,yes,6.349,0.237,0,33,streak-free,51.31399999999999,20190127,free,33.408,33.408,35.037,40.955999999999996,4.462,streak,72.708,25.203000000000003,-0.188,78.812,0.062,77.062,35.259
29,,no,7.747999999999999,0.257,0,35,streak-free,31.594,20190127,free,29.245,29.245,35.009,40.925,2.747,streak,268.60200000000003,22.768,0.359,35.359,-0.016,10.984000000000002,31.779
30,,no,8.74,0.24600000000000002,0,37,streak-free,38.996,20190127,free,27.285999999999998,27.285999999999998,34.835,40.736999999999995,3.391,streak,22.768,22.768,0.0,78.0,0.0,11.0,33.046
31,,no,8.168,0.23600000000000002,0,38,streak-free,37.816,20190127,free,28.857,28.857,34.853,40.757,3.2880000000000003,streak,22.768,22.768,0.0,89.0,0.0,24.0,33.227
32,,no,6.103,0.21600000000000003,0,40,streak-free,40.378,20190127,free,31.939,31.939,34.863,40.766999999999996,3.511,streak,153.227,68.425,-0.062,21.938000000000002,-0.188,23.811999999999998,32.907
33,,no,6.656000000000001,0.2,0,41,streak-free,36.963,20190127,free,30.061,30.061,34.88,40.785,3.214,streak,29.084,22.768,-0.016,70.984,0.0,41.0,33.22
34,,yes,7.135,0.24100000000000002,0,42,streak-free,44.597,20190127,free,35.265,35.265,34.945,40.856,3.878,streak,211.236,78.751,0.109,72.109,0.23399999999999999,50.233999999999995,35.185
