, ,Above threshold?,Chi^2,Correlation Coefficient,Corresponding ROI1,Corresponding ROI2,Good?,N1,N10,N2,N3,N4,N5,N6,N7,N8,N9,RK 1,RK 10,RK 2,RK 3,RK 4,RK 5,RK 6,RK 7,RK 8,RK 9,ROI,ROI1,ROI2,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,run1,run2,spot1,spot2,stoichiometry,streak or spot?,streak1,streak2,wx,wy,x0,xpos,xpos1,xpos2,y0,ypos,ypos1,ypos2,z
0,1,yes,58.342,1.0070000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,streak-bound,467.77,20190127,bound,69.22399999999999,69.22399999999999,43.946999999999996,50.576,,,,,77.962,streak,,,384.841,91.79,0.516,42.516000000000005,,,-0.469,34.531,,,42.747
0,1,yes,5.769,1.011,,,0.0,,,,,,,,,,,,,,,,,,,,,4.0,,,Undefined-bound,192.791,20190127,bound,36.939,36.939,4.048,6.059,,,,,32.132,Undefined,,,473.19,159.375,0.25,41.25,,,0.375,42.375,,,0.764
0,1,yes,37.675,1.01,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,spot-bound,256.77099999999996,20190127,bound,78.0,78.0,19.016,23.375999999999998,,,,,42.795,spot,,,431.60699999999997,266.473,0.062,73.062,,,0.359,61.358999999999995,,,17.816
0,1,yes,17.977,1.006,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,streak-bound,510.526,20190127,bound,62.611999999999995,62.611999999999995,14.3,18.081,,,,,85.088,streak,,,374.722,94.01100000000001,-0.125,89.875,,,-0.484,76.516,,,17.804000000000002
1,2,yes,2.8310000000000004,1.005,,,0.0,,,,,,,,,,,,,,,,,,,,,6.0,,,streak-bound,293.005,20190127,bound,28.918000000000003,28.918000000000003,7.707999999999999,10.485,,,,,48.833999999999996,streak,,,444.624,68.15,-0.375,52.625,,,0.109,59.108999999999995,,,1.041
2,3,yes,28.849,1.012,,,0.0,,,,,,,,,,,,,,,,,,,,,7.0,,,streak-bound,291.325,20190127,bound,41.082,41.082,11.273,14.63,,,,,48.553999999999995,streak,,,250.482,73.251,-0.078,60.922,,,0.25,60.25,,,31.46
3,4,yes,18.781,1.0090000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,9.0,,,Undefined-bound,203.918,20190127,bound,37.449,37.449,10.134,13.317,,,,,33.986,Undefined,,,478.345,196.77700000000002,0.188,78.188,,,-0.203,59.797,,,0.958
0,1,yes,31.144000000000002,1.004,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,streak-bound,296.445,20190127,bound,26.041,26.041,28.265,33.580999999999996,,,,,49.408,streak,,,306.95799999999997,22.768,0.42200000000000004,38.422,,,0.0,29.0,,,20.682
1,2,yes,60.338,1.005,,,0.0,,,,,,,,,,,,,,,,,,,,,5.0,,,streak-bound,252.123,20190127,bound,35.836999999999996,35.836999999999996,22.905,27.691,,,,,42.021,streak,,,411.719,23.485,-0.156,27.844,,,-0.016,58.983999999999995,,,45.43
2,3,yes,53.00899999999999,1.005,,,0.0,,,,,,,,,,,,,,,,,,,,,6.0,,,streak-bound,244.796,20190127,bound,36.694,36.694,27.614,32.869,,,,,40.799,streak,,,408.592,22.768,0.188,20.188,,,0.0,57.0,,,49.957
3,4,yes,71.938,1.01,,,0.0,,,,,,,,,,,,,,,,,,,,,7.0,,,streak-bound,264.903,20190127,bound,85.204,85.204,36.19,42.206,,,,,44.151,streak,,,392.418,97.14399999999999,0.562,81.562,,,0.516,37.516,,,86.448
4,5,yes,2.455,1.0090000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,19.0,,,streak-bound,139.833,20190127,bound,15.306,15.306,24.33,29.261999999999997,,,,,23.305999999999997,streak,,,408.691,91.073,-0.375,41.625,,,0.172,11.172,,,0.6809999999999999
0,1,yes,12.924000000000001,1.0090000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,4.0,,,streak-bound,222.567,20190127,bound,32.98,32.98,6.1610000000000005,8.642999999999999,,,,,37.095,streak,,,420.517,106.825,-0.23399999999999999,34.766,,,0.031,67.031,,,9.573
1,2,yes,12.027999999999999,1.014,,,0.0,,,,,,,,,,,,,,,,,,,,,5.0,,,Undefined-bound,230.399,20190127,bound,61.98,61.98,5.4879999999999995,7.831,,,,,38.4,Undefined,,,454.642,233.787,0.312,68.312,,,-0.469,43.531000000000006,,,1.5959999999999999
2,3,yes,2.862,1.0090000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,7.0,,,streak-bound,187.765,20190127,bound,19.592,19.592,7.127000000000001,9.796,,,,,31.294,streak,,,421.772,22.768,0.312,61.312,,,-0.016,36.984,,,2.002
3,4,yes,1.652,1.036,,,1.0,,,,,,,,,,,,,,,,,,,,,16.0,,,streak-bound,36.611999999999995,20190127,bound,3.531,3.531,5.553999999999999,7.9110000000000005,,,,,6.102,streak,,,384.473,22.768,0.109,73.109,,,0.0,30.0,,,1.031
0,1,yes,42.263999999999996,1.008,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,streak-bound,281.933,20190127,bound,54.857,54.857,42.325,48.831,,,,,46.989,streak,,,429.583,23.305999999999997,-0.43799999999999994,74.562,,,-0.016,20.984,,,41.125
1,2,yes,2.319,1.006,,,0.0,,,,,,,,,,,,,,,,,,,,,3.0,,,streak-bound,229.00599999999997,20190127,bound,23.878,23.878,21.269000000000002,25.881,,,,,38.168,streak,,,450.31699999999995,78.403,-0.484,65.516,,,0.016,33.016,,,0.825
2,3,yes,2.844,1.008,,,0.0,,,,,,,,,,,,,,,,,,,,,5.0,,,streak-bound,229.765,20190127,bound,27.081999999999997,27.081999999999997,14.049000000000001,17.798,,,,,38.294000000000004,streak,,,484.25699999999995,94.01100000000001,-0.32799999999999996,81.672,,,0.21899999999999997,11.219000000000001,,,0.545
3,4,yes,1.865,1.008,,,1.0,,,,,,,,,,,,,,,,,,,,,6.0,,,streak-bound,259.72700000000003,20190127,bound,23.305999999999997,23.305999999999997,12.037,15.507,,,,,43.288000000000004,streak,,,450.444,71.707,0.344,49.343999999999994,,,0.25,40.25,,,0.7759999999999999
0,1,yes,2.404,1.006,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,streak-bound,249.26,20190127,bound,29.796,29.796,3.8989999999999996,5.872999999999999,,,,,41.543,streak,,,492.18800000000005,89.551,0.391,68.391,,,0.031,34.031,,,0.6729999999999999
1,2,yes,1.042,1.006,,,1.0,,,,,,,,,,,,,,,,,,,,,5.0,,,streak-bound,240.1,20190127,bound,24.366999999999997,24.366999999999997,10.077,13.252,,,,,40.016999999999996,streak,,,449.409,22.768,0.43799999999999994,55.438,,,0.0,32.0,,,0.647
0,1,yes,0.93,1.006,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,streak-bound,342.996,20190127,bound,26.388,26.388,1.385,2.562,,,,,57.166000000000004,streak,,,369.14099999999996,68.381,-0.297,71.703,,,0.21899999999999997,76.219,,,0.185
1,2,yes,5.308,1.0090000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,streak-bound,281.882,20190127,bound,50.673,50.673,1.66,2.949,,,,,46.98,streak,,,476.074,145.02,0.375,13.375,,,0.25,36.25,,,0.735
2,3,yes,1.534,1.015,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,streak-bound,86.95700000000001,20190127,bound,8.469,8.469,1.58,2.8360000000000003,,,,,14.493,streak,,,431.911,79.44800000000001,-0.203,30.796999999999997,,,0.047,46.047,,,0.218
0,1,yes,26.164,1.006,,,0.0,,,,,,,,,,,,,,,,,,,,,3.0,,,streak-bound,424.642,20190127,bound,55.673,55.673,11.269,14.626,,,,,70.774,streak,,,440.598,94.01100000000001,-0.25,33.75,,,0.469,58.468999999999994,,,21.176
1,2,yes,20.045,1.006,,,0.0,,,,,,,,,,,,,,,,,,,,,4.0,,,streak-bound,295.999,20190127,bound,35.918,35.918,13.363,17.018,,,,,49.333,streak,,,395.50800000000004,27.039,-0.42200000000000004,27.578000000000003,,,-0.016,67.984,,,18.444000000000003
2,3,yes,55.766000000000005,1.014,,,0.0,,,,,,,,,,,,,,,,,,,,,7.0,,,Undefined-bound,212.753,20190127,bound,73.449,73.449,17.352999999999998,21.518,,,,,35.459,Undefined,,,311.164,167.43200000000002,-0.016,69.984,,,-0.23399999999999999,23.766,,,60.086999999999996
