, ,Above threshold?,Chi^2,Correlation Coefficient,"Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010070/, redtitle: 20190127010070.bin.counts_ch1.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010071/, redtitle: 20190127010071.bin.counts_ch1.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010080/, redtitle: 20190127010080.bin.counts_ch1.stack.tif",Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,stoichiometry,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
4,5.0,yes,0.894,1.013,,,,1.0,5.0,spot-bound,295.367,20190127.0,bound,73.918,73.918,2.5,4.081,25.684,spot,290.625,276.66,-0.062,89.93799999999999,-0.047,28.953000000000003,0.157
0,1.0,yes,0.7120000000000001,1.013,,,,1.0,1.0,spot-bound,297.012,20190127.0,bound,72.755,72.755,2.5660000000000003,4.167,25.826999999999998,spot,281.25,278.906,0.125,48.125,0.23399999999999999,47.233999999999995,0.266
1,2.0,yes,0.897,1.012,,,,1.0,2.0,spot-bound,304.657,20190127.0,bound,74.898,74.898,2.575,4.18,26.491999999999997,spot,283.378,281.25,0.42200000000000004,83.42200000000001,-0.32799999999999996,47.672,0.285
2,3.0,yes,0.875,1.012,,,,1.0,3.0,spot-bound,313.749,20190127.0,bound,75.653,75.653,2.577,4.1819999999999995,27.283,spot,278.906,276.855,-0.23399999999999999,17.766,0.406,24.406,0.28
3,4.0,yes,0.545,1.013,,,,1.0,4.0,spot-bound,298.893,20190127.0,bound,73.633,73.633,2.569,4.172,25.991,spot,281.25,281.25,-0.391,80.609,0.42200000000000004,74.422,0.247
0,1.0,yes,2.3369999999999997,1.013,,,,0.0,1.0,spot-bound,309.005,20190127.0,bound,73.571,73.571,5.931,8.366,26.87,spot,272.461,264.519,0.047,11.047,0.391,30.391,3.6310000000000002
1,2.0,yes,0.843,1.013,,,,1.0,2.0,spot-bound,295.607,20190127.0,bound,73.102,73.102,4.227,6.2829999999999995,25.705,spot,281.61400000000003,283.378,0.312,46.312,-0.375,88.625,0.223
2,3.0,yes,0.848,1.013,,,,1.0,3.0,spot-bound,296.765,20190127.0,bound,73.469,73.469,3.6489999999999996,5.56,25.805999999999997,spot,279.018,285.645,-0.094,27.906,0.047,43.047,0.19399999999999998
0,1.0,yes,0.7959999999999999,1.012,,,,1.0,1.0,spot-bound,315.416,20190127.0,bound,77.306,77.306,2.513,4.099,27.428,spot,278.906,281.25,-0.062,12.937999999999999,0.156,86.156,0.213
1,2.0,yes,0.713,1.013,,,,1.0,2.0,spot-bound,294.66200000000003,20190127.0,bound,74.122,74.122,2.496,4.075,25.623,spot,283.277,283.447,0.0,8.0,-0.23399999999999999,11.765999999999998,0.17800000000000002
