, ,Above threshold?,Chi^2,Correlation Coefficient,"Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010071/, redtitle: 20190127010071.bin.counts_ch0.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010080/, redtitle: 20190127010080.bin.counts_ch0.stack.tif",Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,run,spot,stoichiometry,streak,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
1,2.0,yes,1.5090000000000001,1.018,,,1.0,2.0,spot-bound,310.105,20190127.0,bound,110.38799999999999,110.38799999999999,3.6069999999999998,5.507000000000001,,,51.684,,spot,339.161,342.439,-0.094,79.906,-0.125,30.875,3.6519999999999997
2,3.0,yes,20.249000000000002,1.02,,,0.0,3.0,spot-bound,295.063,20190127.0,bound,113.286,113.286,15.133,19.023,,,49.177,,spot,281.25,297.62,-0.156,60.843999999999994,-0.516,9.484,36.985
3,4.0,yes,2.415,1.018,,,0.0,4.0,spot-bound,314.606,20190127.0,bound,109.87799999999999,109.87799999999999,13.465,17.134,,,52.434,,spot,323.414,333.981,0.141,65.141,-0.391,18.609,7.26
4,5.0,yes,1.171,1.018,,,1.0,5.0,spot-bound,303.51099999999997,20190127.0,bound,107.061,107.061,11.52,14.914000000000001,,,50.585,,spot,342.773,339.89,-0.125,7.875,-0.42200000000000004,65.578,2.5380000000000003
0,,yes,1.421,1.0170000000000001,,,1.0,1.0,spot-bound,311.77,20190127.0,bound,109.245,109.245,5.279,7.577000000000001,,,51.961999999999996,,spot,337.17,336.491,0.188,54.188,-0.188,72.812,4.079
1,,yes,1.46,1.018,,,1.0,2.0,spot-bound,310.945,20190127.0,bound,109.61200000000001,109.61200000000001,4.734,6.91,,,51.824,,spot,339.89,340.981,-0.172,83.82799999999999,0.344,70.344,2.988
2,,yes,1.0390000000000001,1.018,,,1.0,3.0,spot-bound,306.06,20190127.0,bound,109.65299999999999,109.65299999999999,3.91,5.8870000000000005,,,51.01,,spot,350.0,350.0,0.469,42.468999999999994,-0.406,7.593999999999999,1.061
0,,yes,1.193,1.0190000000000001,,,1.0,1.0,spot-bound,300.93,20190127.0,bound,109.061,109.061,3.138,4.909,,,50.155,,spot,355.469,343.015,0.297,35.297,-0.203,54.797,1.9380000000000002
1,,yes,1.177,1.018,,,1.0,2.0,spot-bound,313.059,20190127.0,bound,110.61200000000001,110.61200000000001,2.968,4.691,,,52.177,,spot,344.531,343.195,-0.297,11.703,-0.188,80.812,1.599
2,,yes,4.953,1.0190000000000001,,,0.0,3.0,spot-bound,307.513,20190127.0,bound,108.08200000000001,108.08200000000001,7.229,9.917,,,51.251999999999995,,spot,321.16200000000003,311.308,-0.42200000000000004,43.578,-0.031,51.968999999999994,14.549000000000001
0,,yes,1.205,1.0170000000000001,,,1.0,2.0,spot-bound,318.988,20190127.0,bound,111.837,111.837,5.978,8.423,,,53.165,,spot,340.81699999999995,340.05400000000003,-0.266,52.733999999999995,0.125,29.125,2.6919999999999997
1,,yes,1.7930000000000001,1.0190000000000001,,,1.0,3.0,spot-bound,303.491,20190127.0,bound,108.34700000000001,108.34700000000001,5.682,8.065,,,50.582,,spot,342.773,337.17,-0.016,46.983999999999995,-0.266,74.734,3.89
0,,yes,1.1520000000000001,1.018,,,1.0,1.0,spot-bound,312.593,20190127.0,bound,111.163,111.163,3.4960000000000004,5.365,,,52.099,,spot,351.102,337.25,-0.078,87.92200000000001,-0.109,21.891,2.296
